Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
1232,0.954993008,0.782221462,0.835309892,0.292874496,0.767613395,0.255836837,0.269050383,0.78826,0.435959568,0.507174543,0.263354931,0.722790659,0.490804446,0.670656735,0.397593011,0.425392014,0.738979168,0.612057723,0.564599821,0.579551311,0.564837484,0.545363793,0.666702528,0.396273188,0.536181561,0.362545382,0.422701908,0.316492159,3.07E-05,0
1269,0.980675968,0.766828789,0.837968388,0.235307434,0.764497327,0.259298806,0.264392235,0.785112289,0.465560192,0.508448724,0.327235001,0.723594992,0.444502015,0.660328613,0.375075536,0.471697384,0.706650017,0.673371843,0.615943279,0.579742165,0.559607985,0.493508753,0.66446881,0.322572792,0.595538227,0.588052503,0.414855594,0.312804195,3.00E-05,0
1277,0.942188849,0.774067163,0.874167907,0.261407224,0.759781443,0.264960017,0.262161761,0.794526315,0.47684411,0.489099616,0.213712877,0.672720059,0.277848694,0.655705397,0.370557152,0.448114652,0.743897648,0.640156062,0.55012935,0.577003562,0.562008987,0.51183952,0.664229333,0.390268777,0.563314957,0.480072671,0.416056294,0.313776086,7.55E-05,0
1435,0.980567303,0.75067994,0.864901211,0.199008875,0.74891531,0.262719895,0.253514086,0.78800308,0.423838569,0.538857204,0.343828523,0.695393527,0.453619913,0.621041868,0.317312536,0.451292654,0.740152561,0.726049013,0.544852694,0.577453652,0.563320919,0.544542976,0.664874444,0.456719604,0.58767891,0.41908157,0.418029073,0.313837493,0.001946195,0
1450,0.939563822,0.781560209,0.874132552,0.262686827,0.770332552,0.267727402,0.272245295,0.778134711,0.464203928,0.535718152,0.348876274,0.723105771,0.52600653,0.618816812,0.397060153,0.450113759,0.695218548,0.692359591,0.650756485,0.584947427,0.55647655,0.496755992,0.659507139,0.31222932,0.585470631,0.32017366,0.393003231,0.291662016,0.000407144,0
1624,0.908995621,0.790925755,0.85890828,0.230042368,0.76291115,0.287817609,0.25231924,0.734552554,0.484006225,0.510816174,0.280566633,0.742074516,0.449287183,0.641367685,0.304509668,0.45995382,0.730799796,0.68463179,0.597940238,0.568932413,0.646261897,0.426330668,0.67130721,0.220252298,0.600165411,0.500036463,0.419354975,0.310171003,0.00069051,0
1668,0.980657209,0.761668868,0.839252156,0.224642839,0.758992327,0.252375008,0.26362376,0.783634301,0.421784768,0.527154609,0.358789905,0.70852952,0.38879265,0.667370984,0.343051983,0.408673943,0.729082839,0.740153878,0.527491383,0.575023926,0.555414594,0.47596139,0.66623929,0.454700654,0.59023753,0.585748078,0.4148571,0.313019938,0.001167717,0
1682,0.952972727,0.776607116,0.862547653,0.286218661,0.765925465,0.257300292,0.270582352,0.784044521,0.447666425,0.516797875,0.356364293,0.693636983,0.319111605,0.66691618,0.374033376,0.442839249,0.719996175,0.701477427,0.611884868,0.581903574,0.56335383,0.535107879,0.663563977,0.450383869,0.559796606,0.364789355,0.420824607,0.312977058,0.000955971,0
1737,0.938549997,0.781298545,0.852273494,0.208834125,0.766521393,0.258228616,0.269409695,0.78635067,0.489799911,0.514703232,0.191146598,0.678078694,0.368007697,0.640584939,0.330496664,0.456441541,0.71475198,0.637449743,0.564070818,0.584093513,0.555830921,0.4781793,0.663386706,0.319546414,0.578776977,0.484565312,0.427777217,0.320291592,0.000194619,0
1778,0.936007274,0.770693658,0.865320521,0.323017108,0.769187185,0.255571093,0.265473997,0.786108663,0.464371776,0.513996181,0.268853288,0.699276097,0.356370704,0.65183695,0.363910538,0.406769663,0.756436882,0.600158875,0.608949092,0.578917911,0.560883754,0.520868977,0.662623308,0.464946731,0.56830246,0.382737755,0.420103901,0.31909959,0.000174768,0
1906,0.977282381,0.77245615,0.84806963,0.363723335,0.764313096,0.257269269,0.266759069,0.784023063,0.437238162,0.522539329,0.252240554,0.697283005,0.432138749,0.658451431,0.372398222,0.471305426,0.714021168,0.623614392,0.491506464,0.579277345,0.558675222,0.479332242,0.666277107,0.426728745,0.596465696,0.394407106,0.416125149,0.31375443,0.001623516,0
1909,0.979655083,0.771160586,0.84279699,0.282574004,0.763330417,0.252271607,0.265958731,0.783084255,0.462909142,0.502762896,0.283292061,0.716861755,0.480526304,0.635110553,0.416542308,0.46428239,0.730662447,0.63109923,0.547727558,0.579524352,0.556873782,0.472055459,0.667327547,0.429470603,0.590406523,0.440773436,0.416109755,0.313755928,5.02E-05,0
2243,0.923057562,0.760158136,0.890357538,0.333385927,0.75881848,0.264390304,0.256909786,0.796114845,0.501263474,0.490908053,0.198520033,0.728153938,0.425871382,0.616909762,0.248776491,0.424788045,0.756542325,0.675061193,0.62517797,0.585503132,0.566161193,0.548380694,0.662151479,0.488632641,0.603847701,0.426282538,0.42211877,0.311399739,0.002303516,0
2313,0.947992193,0.771580682,0.875636576,0.249478416,0.767346151,0.270938394,0.266643138,0.785877177,0.478511211,0.499224133,0.212263719,0.710677606,0.504938911,0.616087445,0.35607987,0.444960974,0.721745367,0.630102466,0.573210068,0.580918861,0.560590381,0.519587697,0.662481608,0.285703499,0.564451311,0.476070085,0.413541891,0.311114183,0.000661317,0
2374,0.950256141,0.777770539,0.880630306,0.390048772,0.762483154,0.268122104,0.264773377,0.789253346,0.441753942,0.523336864,0.26095019,0.691735229,0.397919323,0.640680847,0.377728874,0.426214732,0.753464445,0.631833124,0.589354219,0.582252462,0.564702098,0.552043437,0.664456141,0.468088995,0.552778125,0.481753253,0.424766678,0.317647813,0.000324625,0
2427,0.978727738,0.761650862,0.845551882,0.257679638,0.759186653,0.258081587,0.263419756,0.784148565,0.426555126,0.524389737,0.350585616,0.753201767,0.514418698,0.642889771,0.24423081,0.392573095,0.7343309,0.721563714,0.535743935,0.576240231,0.554756796,0.479935027,0.665211761,0.459852067,0.601664625,0.479547931,0.416285147,0.3134273,0.002179738,0
2486,0.947575133,0.768167061,0.871361042,0.229329222,0.755689944,0.271248869,0.268758767,0.788036633,0.473879821,0.49377657,0.360793563,0.731909835,0.412136195,0.635763308,0.313564359,0.449324477,0.731811603,0.640706809,0.579865356,0.579754903,0.562214725,0.52221708,0.667278201,0.422507005,0.552941633,0.579280034,0.415510729,0.312273758,0.007784779,0
2517,0.95182512,0.775339755,0.859103902,0.16490164,0.766170383,0.24615748,0.272804498,0.780031575,0.487510736,0.484550228,0.28862904,0.729063551,0.474824318,0.645270626,0.395541341,0.426924909,0.716985371,0.643674066,0.54546147,0.580893403,0.562914311,0.541069108,0.661527225,0.481170304,0.580736108,0.284681563,0.421002162,0.3129403,3.89E-05,0
2520,0.895805362,0.79633148,0.842628128,0.147095164,0.764730754,0.255984804,0.273205078,0.77816351,0.59188874,0.607920755,0.238795395,0.651918656,0.330524531,0.588920168,0.419683375,0.459086912,0.688912605,0.636241804,0.502185759,0.601633138,0.547374783,0.477718895,0.662415822,0.313121323,0.599719044,0.545242338,0.437718488,0.320699411,0.001496235,0
2644,0.931415331,0.787637079,0.870232139,0.375298007,0.761836756,0.268897301,0.265099081,0.789254368,0.470357841,0.554687065,0.266435846,0.709267754,0.472171803,0.621990188,0.377168305,0.423647457,0.748348418,0.62269243,0.583586105,0.589111596,0.561880384,0.549111208,0.664757489,0.439551987,0.570833582,0.487455329,0.434571621,0.324641435,0.000353818,0
2680,0.936464344,0.776995625,0.862945592,0.181409018,0.763768066,0.260696484,0.268983456,0.786141473,0.487996462,0.518874932,0.355965718,0.6813269,0.256417416,0.653332953,0.366018639,0.464590741,0.712139874,0.647228232,0.501556406,0.581632454,0.55955473,0.502060041,0.664726542,0.379751213,0.55129012,0.538980521,0.417443143,0.314111558,0.001343653,0
2700,0.950231431,0.771896013,0.858999901,0.222952251,0.770849891,0.257307712,0.271498084,0.781926171,0.455299947,0.498280325,0.214960631,0.696425085,0.488609521,0.638862066,0.364003996,0.466581344,0.699760911,0.651170472,0.531316392,0.581739991,0.561324841,0.509815388,0.663869657,0.325734682,0.563173196,0.46043448,0.414571942,0.311498866,0.001806069,0
2800,0.935377586,0.781508869,0.86444111,0.232379051,0.763613861,0.261070905,0.269120256,0.768650908,0.449340536,0.488039479,0.28706675,0.688353429,0.358340452,0.642021993,0.399679606,0.460341735,0.741358459,0.612779138,0.469760101,0.574236369,0.582393488,0.453061564,0.667851789,0.422013813,0.584761693,0.432001292,0.418992071,0.314164724,0.003308142,0
2834,0.928834321,0.766370065,0.88914353,0.404095593,0.758848631,0.280029188,0.258435115,0.79786686,0.457066818,0.512473951,0.269695833,0.748003866,0.502103551,0.616023604,0.197730073,0.441776618,0.746096011,0.715927495,0.691648774,0.587649273,0.566176428,0.550395104,0.663784162,0.392823854,0.596557106,0.514449363,0.421546328,0.312805993,0.004723025,0
3182,0.937864831,0.760576928,0.852496767,0.25610387,0.782066156,0.267413947,0.266702101,0.787598234,0.461683056,0.502779955,0.244817447,0.707070188,0.404278998,0.645485191,0.243031953,0.451162973,0.703544733,0.67177177,0.563300121,0.582982916,0.561748047,0.506936342,0.663895932,0.149552072,0.584853041,0.347936915,0.415222583,0.311501758,0.001771037,0
3214,0.949469355,0.771219209,0.858847669,0.169499567,0.769319226,0.247891688,0.271982952,0.778636845,0.498546152,0.493113585,0.316781241,0.731478933,0.463773514,0.639623168,0.417683162,0.411955315,0.724392141,0.606940704,0.516865259,0.580468738,0.563301356,0.553496343,0.662604628,0.467779305,0.553047061,0.273628787,0.417356445,0.308828422,3.89E-05,0
3290,0.97864781,0.777682551,0.796262796,0.301367446,0.778139538,0.262608302,0.268955373,0.785601652,0.444232548,0.47909175,0.352511223,0.686059888,0.423627617,0.539459088,0.395890106,0.496019582,0.793029141,0.790833451,0.542475141,0.580941945,0.557892354,0.479638986,0.658912695,0.106826189,0.631569576,0.396338136,0.417240483,0.314598754,0.001751186,0
3354,0.976020672,0.764430628,0.837826035,0.268514035,0.763972477,0.261121496,0.265342272,0.787368392,0.465642475,0.510404281,0.34429194,0.688251159,0.244915006,0.684599841,0.393691245,0.460045802,0.723851859,0.625324529,0.575799899,0.579073196,0.554590013,0.4349427,0.668391773,0.327819222,0.572082719,0.427248177,0.415185795,0.313303559,0.003433087,0
3664,0.978955484,0.768165937,0.841137635,0.283609091,0.763202646,0.255367102,0.265947743,0.784416862,0.472984317,0.506090915,0.272586031,0.702671281,0.356583381,0.660961202,0.365830865,0.428065944,0.744012575,0.580112074,0.536370415,0.577718546,0.560967417,0.512596502,0.665063262,0.440745155,0.606736235,0.518230121,0.415737466,0.313087589,0,0
3834,0.977052472,0.765278652,0.855219048,0.298840275,0.761955185,0.26983277,0.260517706,0.78852994,0.487671184,0.507443197,0.222435619,0.700093935,0.464459769,0.640785021,0.47543867,0.473622052,0.708074912,0.683707488,0.493706925,0.579758678,0.565406357,0.543343458,0.662879549,0.281248029,0.599486582,0.399344634,0.418044293,0.313891789,0.001732113,0
3850,0.975445217,0.768027637,0.867129098,0.359299241,0.759737212,0.269998865,0.259520636,0.79066308,0.455658531,0.524887367,0.362017756,0.711595615,0.381090225,0.653209219,0.391899711,0.487434449,0.708552176,0.692151005,0.44125049,0.57816517,0.566609207,0.54975355,0.665767388,0.410585796,0.582654163,0.443796594,0.417458928,0.313728078,0.000472536,0
4063,0.980006712,0.770005366,0.834182202,0.291083149,0.770702935,0.272297576,0.263833899,0.787227492,0.50674231,0.505680373,0.329038186,0.604019178,0.517360847,0.715960966,0.335147162,0.467585261,0.722869645,0.717487546,0.556418868,0.57792493,0.559420608,0.505248922,0.661281472,0.140355184,0.619774902,0.393433615,0.416440168,0.312754163,3.89E-05,0
4072,0.980691729,0.76107186,0.850505085,0.234108788,0.757226775,0.255256301,0.260040607,0.785261438,0.493065625,0.514234806,0.334806473,0.544004072,0.38045622,0.708399348,0.380829108,0.479381897,0.774624742,0.547544712,0.558475607,0.578554961,0.557937311,0.480631425,0.668967865,0.416464507,0.577757184,0.343249924,0.416157454,0.313381715,0.000815845,0
4096,0.982737489,0.763386108,0.837597398,0.205505319,0.76689239,0.271303053,0.260787116,0.785757567,0.467467194,0.51535963,0.368418027,0.627155626,0.721237629,0.683176448,0.30575437,0.498488538,0.738776626,0.592759846,0.639574686,0.582022967,0.557279572,0.484202326,0.664381596,0.14721096,0.599465171,0.359088342,0.416563683,0.312903758,0.000500951,0
4244,0.982436792,0.760387528,0.82175506,0.179911006,0.775601268,0.295907301,0.258142717,0.793033849,0.475226527,0.514655385,0.345308834,0.584573072,0.592876547,0.693469498,0.355657174,0.49808007,0.744081827,0.593598845,0.623433651,0.582407792,0.556896308,0.468379174,0.666774091,0.506135815,0.598158418,0.342583483,0.416178773,0.313401044,0.001235055,0
4305,0.981913379,0.762528465,0.845563973,0.227443151,0.75987879,0.25578308,0.261467959,0.782912421,0.483402111,0.513661612,0.300583596,0.575488188,0.566678798,0.690931559,0.348219632,0.493031566,0.754144773,0.578185521,0.609110526,0.581043364,0.557190955,0.476431924,0.66640032,0.353739732,0.591921493,0.345343615,0.416049767,0.313432515,0.001434346,0
4312,0.981378007,0.75930089,0.821128226,0.181072654,0.775387082,0.296024021,0.25840351,0.792944031,0.475095631,0.514344513,0.345336319,0.584623153,0.593321754,0.693715069,0.355960559,0.498215383,0.744109616,0.594053436,0.622629033,0.583107293,0.557211419,0.467584891,0.666351822,0.506358872,0.597493524,0.342021468,0.416066265,0.313515031,0.00249074,0
4678,0.977478838,0.769378937,0.842342988,0.318400174,0.766907135,0.264990695,0.265579202,0.784437213,0.516623147,0.497928383,0.284184625,0.628999411,0.595955689,0.693731377,0.275047478,0.430133929,0.753928703,0.614931977,0.533407716,0.579027372,0.557284761,0.494252264,0.663129117,0.31560786,0.617611536,0.372638657,0.416638092,0.313361713,0.001870682,0
4742,0.959928302,0.776317026,0.849775141,0.289592718,0.766155121,0.257675058,0.266594684,0.785730988,0.521063592,0.483792347,0.344408178,0.62483604,0.579979215,0.634841038,0.255755553,0.438275455,0.794439145,0.641813002,0.502657501,0.580217918,0.557756891,0.508614231,0.66711668,0.418109983,0.554807333,0.467551158,0.420519142,0.31341313,0.000479153,0
4835,0.947309836,0.777147665,0.832989688,0.206696158,0.788326728,0.293644161,0.269327039,0.792463978,0.47327921,0.487648112,0.317122869,0.597796934,0.551323291,0.713967309,0.294667039,0.458358338,0.720719944,0.68412544,0.505817673,0.579620218,0.559698656,0.495285634,0.659846389,0.508096287,0.618090159,0.347374785,0.416750244,0.314653752,0.00031723,0
4846,0.940136255,0.771245878,0.876425807,0.283942794,0.773206068,0.283796057,0.267888243,0.772108411,0.559208791,0.517187835,0.31903284,0.632365587,0.552065533,0.636868047,0.105825798,0.416912132,0.74238276,0.646188531,0.638806484,0.578356816,0.560527113,0.464197851,0.665533124,0.189754669,0.584252495,0.322747147,0.406265138,0.296110301,0.00063407,0
5036,0.946074724,0.783071419,0.859083306,0.31920708,0.765720244,0.263667117,0.266466438,0.789949924,0.488362485,0.494083688,0.301222011,0.632333114,0.608996902,0.701842671,0.290043426,0.4126313,0.774743747,0.623160089,0.603469635,0.580173533,0.559163637,0.515563693,0.6637358,0.389294074,0.573681269,0.382773001,0.421762993,0.315887571,3.89E-05,0
5037,0.949513013,0.762609097,0.88923007,0.179015591,0.755715782,0.263571786,0.259215405,0.786890485,0.432455026,0.518301805,0.398797828,0.612782434,0.644165221,0.661397934,0.194150776,0.432004903,0.769278993,0.712363432,0.577178032,0.578071875,0.557305427,0.509269411,0.662854964,0.446565266,0.584041177,0.387441364,0.418131798,0.314512499,0.000525473,0
5094,0.975463614,0.766337186,0.837287473,0.316488594,0.767714362,0.26788977,0.266005926,0.784756355,0.519252642,0.497401713,0.255720671,0.616214806,0.57609447,0.695741904,0.281242302,0.435340171,0.749626055,0.629540389,0.545447928,0.580647939,0.557487619,0.486944425,0.661304856,0.25153042,0.618841055,0.376218946,0.416310863,0.313526697,0.004921148,0
5102,0.89702756,0.785558907,0.814680712,0.196330426,0.744922401,0.253484061,0.258446511,0.808720679,0.432922421,0.491030759,0.340884835,0.613649632,0.445258626,0.775169537,0.240544632,0.439241172,0.772592638,0.787191441,0.466290213,0.565027938,0.55731843,0.464014816,0.664837119,0.444150638,0.572059185,0.549518339,0.396509674,0.304871503,0.005967811,0
5191,0.975820693,0.767186755,0.847257981,0.322132692,0.763367642,0.263328966,0.26405129,0.786968459,0.518623798,0.502878525,0.399994985,0.615441241,0.390987685,0.718129104,0.23852541,0.433115211,0.758531065,0.652845319,0.5354445,0.577229011,0.558457608,0.496619128,0.664726577,0.39769734,0.605719013,0.36370386,0.416292825,0.313200017,0.001880413,0
5313,0.969664865,0.756090288,0.854935451,0.278101735,0.756628355,0.260054157,0.263299485,0.783574137,0.538391109,0.489666264,0.313228163,0.647027452,0.660606027,0.674785677,0.297914279,0.453318119,0.748825725,0.641012046,0.558028819,0.58598332,0.560116725,0.491226833,0.662580725,0.441046112,0.57890317,0.575468848,0.414512149,0.314375992,0.011451021,0
5339,0.940290349,0.778191253,0.868985936,0.476770462,0.767439566,0.265284367,0.264037994,0.790198634,0.437653543,0.521985317,0.277541196,0.607761316,0.617297985,0.703039806,0.278530392,0.437618781,0.771810385,0.656789921,0.649863127,0.583714673,0.559435076,0.492037166,0.666662852,0.425357936,0.552934853,0.449509986,0.417072193,0.312726621,0.001647648,0
5381,0.931985124,0.76657828,0.850900699,0.356281639,0.782068011,0.253084781,0.261828587,0.786024049,0.501439123,0.498759406,0.255251373,0.597836441,0.588353205,0.625000995,0.184710687,0.482222609,0.764185445,0.698977416,0.454334394,0.576782777,0.554991519,0.485189589,0.658432691,0.301064451,0.587718975,0.409719932,0.422452344,0.312599288,0.000293875,0
5580,0.9300961,0.761476736,0.88337919,0.282107928,0.76540554,0.257355503,0.265018051,0.787775886,0.521780406,0.48224307,0.265156626,0.569671734,0.413812516,0.696387294,0.304393336,0.464254568,0.737938178,0.716256107,0.474356419,0.582869227,0.564005943,0.517556793,0.667441708,0.415665037,0.607417727,0.36368769,0.415845161,0.315030315,0.005755287,0
5584,0.942532865,0.771619658,0.893825402,0.301326452,0.763087458,0.273979922,0.262781318,0.791915967,0.511312326,0.49231857,0.361479852,0.625055459,0.464307719,0.671523897,0.083338255,0.455846637,0.75355235,0.641390088,0.473074118,0.577496031,0.558840269,0.507724986,0.663876285,0.407749673,0.563362372,0.551684634,0.416902056,0.314702143,0.000430888,0
5618,0.943301337,0.779056009,0.861221504,0.265099278,0.764622018,0.266000555,0.265226445,0.79206457,0.495481708,0.489401666,0.392616592,0.657937812,0.587920835,0.699824351,0.192677999,0.43279928,0.760213675,0.648849839,0.566991067,0.579534921,0.560805128,0.526096104,0.664072488,0.386530683,0.565390412,0.480542146,0.420561154,0.315557432,0.000522748,0
5708,0.933628415,0.757501263,0.867084115,0.172009538,0.766907449,0.250936224,0.266245229,0.78597689,0.555478711,0.460094414,0.308263887,0.609757035,0.433516893,0.698431437,0.284091085,0.410299799,0.768054161,0.629191715,0.545756937,0.581970964,0.561606765,0.510827194,0.668152624,0.430196258,0.593893677,0.403997277,0.416179247,0.31522767,0.004499213,0
5841,0.972849477,0.76600269,0.846513495,0.331295688,0.763403896,0.260442368,0.266616994,0.783480886,0.513644312,0.496788123,0.331156042,0.64181335,0.593125787,0.695670708,0.270579514,0.422445592,0.762983738,0.596303737,0.505215672,0.58117131,0.559288095,0.499332819,0.663262062,0.433218979,0.609065946,0.361932421,0.416288147,0.313930842,0.00613752,0
5925,0.979646813,0.76812146,0.819636082,0.272876665,0.780904354,0.299773947,0.26215502,0.793616607,0.512965439,0.500629571,0.309386603,0.618613638,0.558083755,0.700766911,0.26994313,0.445220758,0.737569357,0.666914063,0.575714122,0.579498167,0.556144303,0.478792118,0.663663931,0.510125209,0.626645419,0.365703561,0.416468111,0.313263876,0.000518077,0
5942,0.93108866,0.763026515,0.864583009,0.210120491,0.753597347,0.255378772,0.262608863,0.784710462,0.412438343,0.525295612,0.33460367,0.58764628,0.676175711,0.68517611,0.358450186,0.425897251,0.7839899,0.663063275,0.619888914,0.575751818,0.553386333,0.466096911,0.664024252,0.468907541,0.568753369,0.360523384,0.40960553,0.314936643,0.005410421,0
5953,0.976551093,0.75284336,0.870514274,0.246346762,0.753907433,0.278955871,0.252537824,0.792416905,0.531277392,0.507867594,0.39131722,0.625179598,0.522991469,0.656099572,0.179881291,0.45889928,0.786366739,0.574129525,0.578935197,0.58026215,0.565772898,0.570495128,0.66355264,0.347168473,0.592737225,0.438015353,0.418152878,0.313405977,0.002061799,0
5979,0.976768392,0.768600177,0.843583606,0.283676856,0.765435961,0.26510388,0.263192973,0.787896057,0.50787632,0.497712143,0.448056853,0.616445602,0.449475477,0.704893958,0.362854049,0.453768639,0.764211349,0.638170845,0.498416049,0.577653418,0.556037964,0.4715557,0.668274728,0.323699924,0.575053307,0.441986038,0.41585218,0.313273307,0.000882794,0
6073,0.930668977,0.787770741,0.852499644,0.255640438,0.760787671,0.25521068,0.264213286,0.79438325,0.483669157,0.501312332,0.418695841,0.656552914,0.606622265,0.720189148,0.284758978,0.46509163,0.74450348,0.677277759,0.559371312,0.581564961,0.556889463,0.478705045,0.667198192,0.443857119,0.5715621,0.427828153,0.420203932,0.315163349,0.000349926,0
6109,0.921314799,0.749958708,0.865972461,0.275951656,0.784705283,0.234391874,0.260359027,0.776509966,0.52324692,0.512663066,0.346929953,0.631465325,0.630250952,0.679546054,0.314698859,0.455548454,0.727083136,0.617236873,0.496484406,0.569388226,0.55228315,0.491956083,0.65649282,0.485923507,0.490704127,0.367800832,0.419424903,0.304761363,0.000390017,0
6218,0.934876615,0.786923155,0.860800929,0.294825349,0.765229738,0.25588431,0.268112045,0.78725036,0.480547125,0.501038581,0.316854212,0.626693148,0.649439924,0.705047329,0.359456678,0.439299253,0.751555739,0.672386603,0.583705983,0.581987873,0.560030006,0.515098955,0.662116253,0.429957896,0.61562551,0.389504279,0.419446746,0.315583101,0.000309445,0
6355,0.949929542,0.779518794,0.881380922,0.278858064,0.767419461,0.257704223,0.274953604,0.771485938,0.535401519,0.53168291,0.35587663,0.590147911,0.548478683,0.657301994,0.361867216,0.439510331,0.724419405,0.65812633,0.509286159,0.584637232,0.554529858,0.505521706,0.661950599,0.465249517,0.569298345,0.305308176,0.40129656,0.293308047,0.00140126,0
6525,0.974935479,0.765167894,0.860780922,0.330533142,0.762788769,0.277395465,0.260353443,0.790834229,0.542939565,0.495149765,0.386891841,0.668748991,0.518149663,0.679433635,0.123506574,0.409271339,0.776529972,0.584753928,0.55506829,0.577271871,0.553660698,0.476955147,0.667088936,0.333347225,0.593739034,0.338019261,0.417870078,0.313312355,0.000728266,0
6558,0.90746722,0.750326996,0.872816741,0.4131028,0.790005555,0.246306495,0.255198858,0.785292103,0.448367695,0.528148435,0.410383405,0.643269486,0.672289142,0.706063848,0.331255746,0.453024651,0.74243173,0.693574012,0.664882105,0.576869383,0.556013097,0.488342637,0.654352806,0.39188236,0.582025275,0.449965138,0.423898052,0.310656643,0.001160321,0
6880,0.951311162,0.769260084,0.864675054,0.239291738,0.768310495,0.266318387,0.26450934,0.785340943,0.514107575,0.487859461,0.233097884,0.619661978,0.696820733,0.668805894,0.300412,0.448966827,0.743348888,0.683471562,0.672313578,0.583491391,0.560583096,0.521655984,0.662044075,0.260454438,0.561941214,0.686459675,0.417005183,0.315512726,0.001165771,0
6966,0.951251256,0.771218038,0.861723851,0.287908768,0.758348931,0.262959087,0.269985463,0.782710624,0.51239525,0.494460073,0.292203732,0.596786939,0.523667555,0.690447236,0.31764097,0.416079314,0.775727929,0.656412167,0.72210345,0.58103198,0.559046655,0.515275268,0.667643475,0.440941106,0.546763348,0.626258339,0.417087817,0.314710847,0.006585923,0
7010,0.948930232,0.781446669,0.86829202,0.255169251,0.767137253,0.255145326,0.271088699,0.780562287,0.49686686,0.504294476,0.34052446,0.635898046,0.696167273,0.679266416,0.335326972,0.449205134,0.73510533,0.631786568,0.545566739,0.584032271,0.55433921,0.479764064,0.664719012,0.42862923,0.570185228,0.426061954,0.420094914,0.312212023,0.000466697,0
